country_name,year,judicial_constraints,legislative_constraints,accountability_index,high_court_independence,federalism_index,power_distribution_index
Lebanon,2024,0.507,0.323,0.395,0.493,0.285,0.4006
Lesotho,2024,0.796,0.71,1.081,1.94,0.455,0.9963999999999998
Liberia,2024,0.574,0.463,0.927,1.355,0.0,0.6638
Libya,2024,0.3,0.482,0.186,0.318,0.025,0.2622
Lithuania,2024,0.94,0.955,1.452,1.795,0.492,1.1267999999999998
Luxembourg,2024,0.87,0.876,1.664,1.873,0.333,1.1232000000000002
Madagascar,2024,0.345,0.342,0.443,-1.017,0.347,0.09200000000000004
Malawi,2024,0.768,0.928,1.037,1.328,0.438,0.8997999999999999
Malaysia,2024,0.751,0.497,0.566,0.716,0.422,0.5904
Maldives,2024,0.776,0.685,0.812,1.32,0.466,0.8118000000000001
Mali,2024,0.6,0.093,0.007,0.148,0.351,0.23979999999999996
Malta,2024,0.828,0.675,1.228,1.828,0.43,0.9978
Mauritania,2024,0.172,0.314,0.234,-2.22,0.549,-0.19020000000000004
Mauritius,2024,0.72,0.689,1.067,0.423,0.469,0.6736
Mexico,2024,0.401,0.272,0.517,0.528,0.968,0.5372
Moldova,2024,0.892,0.693,0.922,2.055,0.464,1.0052
Mongolia,2024,0.754,0.706,0.741,1.068,0.532,0.7602
Montenegro,2024,0.679,0.697,0.986,0.2,0.485,0.6094
Morocco,2024,0.761,0.713,0.422,2.453,0.304,0.9306000000000001
Mozambique,2024,0.501,0.306,-0.109,-0.789,0.628,0.10739999999999998
Namibia,2024,0.837,0.754,1.003,1.342,0.525,0.8922000000000001
Nepal,2024,0.773,0.807,1.062,1.298,0.936,0.9752000000000001
Netherlands,2024,0.947,0.954,1.592,1.873,0.914,1.2559999999999998
New Zealand,2024,0.981,0.918,1.684,3.152,0.486,1.4442
Nicaragua,2024,0.003,0.024,-1.376,-3.264,0.331,-0.8563999999999998
Niger,2024,0.735,0.71,0.636,0.982,0.749,0.7624
Nigeria,2024,0.429,0.59,0.788,0.184,0.974,0.593
North Korea,2024,0.003,0.086,-1.559,-3.162,0.278,-0.8707999999999998
North Macedonia,2024,0.45,0.645,0.765,-0.824,0.497,0.3066
Norway,2024,0.955,0.983,1.865,2.693,0.953,1.4898000000000002
Oman,2024,0.439,0.291,-0.234,0.071,0.418,0.19699999999999998
Pakistan,2024,0.602,0.451,0.183,0.164,0.761,0.43220000000000003
Palestine/Gaza,2024,0.402,0.144,-0.988,1.85,0.064,0.29440000000000005
Palestine/West Bank,2024,0.468,0.253,-0.245,-0.224,0.436,0.13760000000000003
Panama,2024,0.73,0.824,1.253,1.03,0.476,0.8625999999999999
Papua New Guinea,2024,0.822,0.837,0.882,1.744,0.847,1.0264
Paraguay,2024,0.72,0.441,0.742,0.444,0.968,0.663
Peru,2024,0.784,0.751,0.926,0.44,0.959,0.772
Philippines,2024,0.642,0.682,0.618,0.408,0.917,0.6534000000000001
Poland,2024,0.774,0.898,1.212,1.176,0.903,0.9926000000000001
Portugal,2024,0.945,0.92,1.511,2.167,0.485,1.2056
Qatar,2024,0.377,0.048,-0.851,-1.069,0.0,-0.299
Republic of the Congo,2024,0.198,0.313,-0.337,-0.712,0.824,0.05719999999999999
Romania,2024,0.648,0.563,0.73,-0.62,0.812,0.4266
Russia,2024,0.042,0.066,-0.972,-2.562,0.686,-0.5479999999999999
Rwanda,2024,0.172,0.281,-0.458,-1.434,0.334,-0.221
Sao Tome and Principe,2024,0.743,0.895,1.127,1.058,0.956,0.9558
Saudi Arabia,2024,0.282,0.055,-1.218,-1.287,0.008,-0.43200000000000005
Senegal,2024,0.62,0.73,1.043,0.062,0.484,0.5877999999999999
Serbia,2024,0.443,0.325,0.152,-0.562,0.462,0.164
Seychelles,2024,0.956,0.798,1.314,2.218,0.0,1.0572
Sierra Leone,2024,0.664,0.701,0.726,-0.135,0.432,0.4776000000000001
